original_index,invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,cluster_label
948,I254527,C134688,Male,34,Cosmetics,4,162.64,Cash,30/01/2022,Mall of Istanbul,0
949,I872181,C260298,Female,28,Cosmetics,1,40.66,Credit Card,24/06/2022,Metropol AVM,1
950,I552979,C296233,Male,44,Cosmetics,1,40.66,Cash,8/7/2021,Metropol AVM,1
951,I193825,C644132,Female,51,Technology,1,1050.0,Credit Card,18/06/2021,Istinye Park,1
952,I141248,C135397,Female,41,Books,3,45.45,Credit Card,19/02/2021,Mall of Istanbul,1
953,I389899,C368327,Female,57,Cosmetics,3,121.98,Credit Card,7/12/2022,Kanyon,0
954,I567920,C540345,Female,19,Toys,2,71.68,Debit Card,28/03/2021,Mall of Istanbul,1
955,I330155,C723748,Female,68,Food & Beverage,1,5.23,Debit Card,27/08/2022,Zorlu Center,1
956,I320215,C201026,Female,37,Food & Beverage,1,5.23,Cash,13/09/2022,Emaar Square Mall,1
957,I127134,C145364,Male,56,Clothing,3,900.24,Credit Card,13/05/2021,Viaport Outlet,0
958,I244007,C615054,Female,30,Clothing,4,1200.32,Debit Card,25/07/2022,Metrocity,0
959,I492378,C748665,Female,46,Shoes,1,600.17,Credit Card,5/12/2021,Metropol AVM,1
960,I901339,C333956,Female,22,Clothing,3,900.24,Cash,25/02/2021,Kanyon,0
961,I309470,C920633,Male,66,Clothing,5,1500.4,Cash,13/04/2021,Kanyon,2
962,I893867,C339459,Female,28,Shoes,3,1800.51,Cash,22/08/2021,Istinye Park,2
963,I188462,C238184,Male,23,Clothing,5,1500.4,Credit Card,12/2/2023,Metrocity,2
964,I590021,C237587,Female,23,Clothing,5,1500.4,Credit Card,25/01/2022,Emaar Square Mall,2
965,I274804,C120312,Female,43,Clothing,4,1200.32,Debit Card,3/2/2021,Zorlu Center,0
966,I293103,C314212,Male,22,Clothing,4,1200.32,Debit Card,14/11/2022,Metrocity,0
967,I273000,C137029,Male,45,Food & Beverage,3,15.69,Cash,31/07/2022,Mall of Istanbul,1
968,I316574,C401927,Female,18,Clothing,5,1500.4,Cash,13/12/2022,Mall of Istanbul,2
969,I119253,C140418,Female,44,Shoes,3,1800.51,Credit Card,14/08/2021,Kanyon,2
970,I291336,C813918,Male,67,Clothing,3,900.24,Cash,19/03/2021,Mall of Istanbul,0
971,I964061,C336542,Female,18,Souvenir,3,35.19,Debit Card,3/12/2021,Zorlu Center,0
972,I152312,C222303,Male,43,Cosmetics,4,162.64,Cash,2/1/2021,Forum Istanbul,0
973,I252885,C211704,Female,69,Toys,2,71.68,Debit Card,11/3/2021,Metrocity,1
974,I164135,C319154,Male,69,Clothing,2,600.16,Credit Card,19/08/2022,Mall of Istanbul,1
975,I284380,C227986,Female,39,Food & Beverage,4,20.92,Credit Card,30/05/2021,Viaport Outlet,0
976,I202855,C541204,Female,39,Toys,4,143.36,Credit Card,18/10/2021,Forum Istanbul,0
977,I135326,C597184,Female,27,Books,3,45.45,Cash,27/03/2021,Forum Istanbul,1
978,I314267,C254897,Female,21,Toys,3,107.52,Cash,6/11/2022,Mall of Istanbul,1
979,I298197,C984958,Female,43,Books,5,75.75,Credit Card,15/08/2022,Metrocity,0
980,I297204,C106392,Male,32,Toys,5,179.2,Credit Card,6/8/2021,Metrocity,0
981,I129409,C352555,Male,22,Clothing,4,1200.32,Credit Card,13/05/2021,Cevahir AVM,0
982,I915951,C512544,Female,35,Souvenir,2,23.46,Credit Card,16/03/2021,Mall of Istanbul,1
983,I499201,C973438,Female,47,Cosmetics,1,40.66,Credit Card,5/11/2022,Istinye Park,1
984,I944990,C334975,Female,35,Books,1,15.15,Cash,4/5/2022,Metrocity,1
985,I114540,C279158,Male,39,Clothing,2,600.16,Debit Card,21/02/2023,Mall of Istanbul,1
986,I124928,C213693,Male,39,Technology,4,2932.625,Debit Card,13/05/2022,Metropol AVM,2
987,I899550,C220809,Female,41,Clothing,5,1500.4,Cash,23/08/2021,Istinye Park,2
988,I328054,C148789,Female,54,Cosmetics,1,40.66,Debit Card,18/11/2022,Metrocity,1
989,I339915,C167245,Female,62,Shoes,2,1200.34,Cash,10/9/2022,Zorlu Center,0
990,I188212,C700713,Female,30,Clothing,2,600.16,Cash,10/1/2022,Istinye Park,1
991,I212705,C118191,Female,44,Shoes,5,2932.625,Credit Card,17/02/2021,Forum Istanbul,2
992,I307234,C183201,Female,36,Food & Beverage,4,20.92,Cash,8/1/2023,Zorlu Center,0
993,I647176,C181566,Female,55,Clothing,3,900.24,Credit Card,5/6/2021,Istinye Park,0
994,I192399,C302318,Female,19,Clothing,4,1200.32,Credit Card,18/05/2021,Kanyon,0
995,I614293,C134351,Female,34,Cosmetics,5,203.3,Cash,11/2/2023,Metrocity,0
996,I231604,C179529,Male,21,Books,4,60.6,Debit Card,4/10/2021,Istinye Park,0
997,I117282,C148683,Male,47,Food & Beverage,4,20.92,Debit Card,23/12/2022,Metropol AVM,0
998,I305327,C413192,Male,64,Food & Beverage,2,10.46,Cash,12/2/2023,Emaar Square Mall,1
999,I262817,C165129,Female,34,Clothing,3,900.24,Debit Card,8/3/2022,Mall of Istanbul,0
1000,I110328,C148584,Female,27,Toys,1,35.84,Debit Card,30/12/2022,Forum Istanbul,1
1001,I127224,C229540,Male,29,Cosmetics,5,203.3,Debit Card,4/8/2022,Viaport Outlet,0
1002,I174445,C568154,Female,60,Clothing,3,900.24,Credit Card,16/12/2021,Kanyon,0
1003,I194623,C149718,Male,51,Clothing,5,1500.4,Credit Card,29/12/2022,Mall of Istanbul,2
1004,I833499,C205677,Male,21,Clothing,2,600.16,Debit Card,7/9/2022,Istinye Park,1
1005,I311025,C458261,Female,29,Toys,2,71.68,Cash,23/01/2023,Emaar Square Mall,1
1006,I110840,C271037,Female,35,Clothing,2,600.16,Cash,11/9/2022,Kanyon,1
1007,I284732,C224501,Female,34,Food & Beverage,2,10.46,Debit Card,17/03/2022,Istinye Park,1
1008,I290369,C146808,Female,19,Clothing,2,600.16,Cash,9/2/2022,Metrocity,1
1009,I302895,C209396,Female,54,Cosmetics,5,203.3,Credit Card,21/09/2022,Forum Istanbul,0
1010,I244811,C298921,Male,48,Clothing,1,300.08,Credit Card,30/08/2021,Cevahir AVM,1
1011,I223987,C208939,Female,36,Cosmetics,5,203.3,Credit Card,8/1/2022,Mall of Istanbul,0
1012,I816434,C242046,Female,67,Technology,2,2100.0,Credit Card,7/2/2023,Cevahir AVM,2
1013,I161335,C564849,Female,62,Food & Beverage,1,5.23,Cash,18/08/2021,Cevahir AVM,1
1014,I164083,C132886,Male,50,Shoes,3,1800.51,Credit Card,31/03/2021,Metropol AVM,2
1015,I951442,C260498,Male,56,Cosmetics,1,40.66,Credit Card,15/01/2023,Forum Istanbul,1
1016,I261283,C457906,Female,46,Shoes,1,600.17,Debit Card,20/10/2021,Kanyon,1
1017,I148573,C172518,Female,45,Toys,3,107.52,Debit Card,2/1/2022,Metrocity,1
1018,I311639,C145101,Male,28,Food & Beverage,1,5.23,Credit Card,5/9/2022,Metrocity,1
1019,I617062,C186156,Female,52,Technology,2,2100.0,Debit Card,16/06/2022,Metrocity,2
1020,I308522,C147643,Male,44,Souvenir,4,46.92,Credit Card,21/01/2023,Kanyon,0
1021,I307559,C208673,Male,65,Clothing,3,900.24,Credit Card,24/03/2022,Metrocity,0
1022,I894688,C231393,Male,34,Food & Beverage,3,15.69,Cash,21/10/2022,Emaar Square Mall,1
1023,I217510,C154650,Female,25,Souvenir,4,46.92,Cash,2/2/2023,Metrocity,0
1024,I810148,C268560,Male,62,Cosmetics,2,81.32,Cash,19/01/2023,Metrocity,1
1025,I231902,C107911,Male,24,Clothing,5,1500.4,Debit Card,4/5/2021,Cevahir AVM,2
1026,I158159,C244693,Male,24,Clothing,5,1500.4,Credit Card,27/02/2023,Kanyon,2
1027,I234985,C587883,Male,39,Clothing,2,600.16,Cash,1/8/2021,Cevahir AVM,1
1028,I188683,C108815,Male,33,Clothing,5,1500.4,Cash,20/10/2021,Emaar Square Mall,2
1029,I271245,C233078,Female,22,Clothing,5,1500.4,Credit Card,7/10/2021,Metropol AVM,2
1030,I722917,C785984,Female,20,Food & Beverage,2,10.46,Credit Card,28/05/2021,Cevahir AVM,1
1031,I134783,C323975,Female,48,Clothing,5,1500.4,Debit Card,4/4/2021,Mall of Istanbul,2
1032,I126058,C287975,Female,33,Books,3,45.45,Credit Card,26/02/2022,Mall of Istanbul,1
1033,I273138,C857630,Female,55,Toys,3,107.52,Cash,8/4/2022,Mall of Istanbul,1
1034,I341064,C871891,Male,24,Food & Beverage,4,20.92,Cash,30/08/2022,Mall of Istanbul,0
1035,I221802,C278178,Female,33,Cosmetics,3,121.98,Credit Card,7/11/2022,Istinye Park,0
1036,I350145,C248333,Male,43,Clothing,5,1500.4,Credit Card,1/6/2021,Mall of Istanbul,2
1037,I217940,C100306,Female,35,Technology,5,2932.625,Cash,18/06/2021,Metropol AVM,2
1038,I576735,C913910,Female,39,Cosmetics,4,162.64,Credit Card,20/02/2021,Kanyon,0
1039,I393633,C132954,Female,47,Clothing,3,900.24,Cash,7/10/2021,Emaar Square Mall,0
1040,I113231,C269368,Female,43,Cosmetics,2,81.32,Debit Card,27/07/2022,Metrocity,1
1041,I237022,C445433,Female,59,Books,3,45.45,Cash,8/10/2021,Metropol AVM,1
1042,I246218,C858947,Male,51,Clothing,4,1200.32,Debit Card,24/01/2021,Mall of Istanbul,0
1043,I229518,C118043,Male,66,Food & Beverage,2,10.46,Cash,23/02/2023,Kanyon,1
1044,I313183,C290766,Female,33,Clothing,3,900.24,Debit Card,22/01/2022,Mall of Istanbul,0
1045,I240959,C239312,Male,44,Cosmetics,2,81.32,Cash,4/4/2022,Forum Istanbul,1
1046,I194523,C317704,Female,23,Toys,4,143.36,Debit Card,29/03/2022,Metrocity,0
1047,I285031,C237306,Female,50,Food & Beverage,4,20.92,Debit Card,9/5/2021,Metrocity,0
1048,I485587,C173332,Male,50,Souvenir,4,46.92,Credit Card,3/11/2021,Cevahir AVM,0
1049,I959031,C166923,Male,34,Cosmetics,1,40.66,Debit Card,11/7/2022,Kanyon,1
1050,I104359,C282188,Male,66,Technology,2,2100.0,Credit Card,5/11/2021,Metrocity,2
1051,I142633,C198630,Female,33,Clothing,2,600.16,Debit Card,4/2/2022,Kanyon,1
1052,I314250,C715814,Female,22,Clothing,2,600.16,Cash,19/03/2021,Mall of Istanbul,1
1053,I908176,C130756,Female,37,Cosmetics,4,162.64,Credit Card,28/01/2022,Metrocity,0
1054,I145940,C212726,Male,21,Food & Beverage,2,10.46,Cash,10/2/2022,Mall of Istanbul,1
1055,I273351,C837659,Female,68,Clothing,5,1500.4,Credit Card,27/12/2021,Mall of Istanbul,2
1056,I208355,C262969,Female,58,Clothing,4,1200.32,Debit Card,4/1/2021,Kanyon,0
1057,I262596,C934109,Male,33,Books,1,15.15,Cash,13/03/2022,Istinye Park,1
1058,I248452,C335992,Male,63,Toys,5,179.2,Credit Card,10/7/2022,Zorlu Center,0
1059,I381818,C164407,Male,28,Souvenir,2,23.46,Cash,17/05/2021,Istinye Park,1
1060,I544516,C889621,Female,56,Books,5,75.75,Credit Card,16/03/2021,Istinye Park,0
1061,I272904,C300061,Female,45,Clothing,3,900.24,Cash,28/03/2022,Metropol AVM,0
1062,I200558,C219393,Male,49,Technology,5,2932.625,Cash,20/01/2022,Istinye Park,2
1063,I143937,C301979,Female,61,Food & Beverage,4,20.92,Debit Card,3/5/2021,Metropol AVM,0
1064,I189408,C339604,Male,32,Food & Beverage,2,10.46,Cash,2/4/2021,Mall of Istanbul,1
1065,I309804,C561613,Male,44,Food & Beverage,3,15.69,Credit Card,25/02/2022,Metropol AVM,0
1066,I253426,C319134,Female,31,Shoes,1,600.17,Credit Card,29/11/2022,Kanyon,1
1067,I177681,C326462,Male,60,Clothing,3,900.24,Cash,17/08/2021,Forum Istanbul,0
1068,I349902,C139854,Female,65,Food & Beverage,4,20.92,Debit Card,21/08/2022,Zorlu Center,0
1069,I122294,C690535,Female,46,Shoes,2,1200.34,Cash,9/1/2021,Metropol AVM,0
1070,I170741,C224080,Male,52,Cosmetics,2,81.32,Cash,17/05/2022,Mall of Istanbul,1
1071,I370577,C285940,Male,24,Books,3,45.45,Cash,11/2/2023,Kanyon,1
1072,I204118,C114657,Female,30,Toys,1,35.84,Credit Card,8/11/2022,Mall of Istanbul,1
1073,I155725,C109140,Male,48,Cosmetics,1,40.66,Cash,30/03/2022,Kanyon,1
1074,I303246,C286250,Female,50,Books,1,15.15,Debit Card,16/01/2021,Mall of Istanbul,1
1075,I101594,C117752,Female,50,Shoes,3,1800.51,Cash,8/8/2021,Cevahir AVM,2
1076,I264732,C261762,Female,55,Clothing,4,1200.32,Credit Card,13/04/2021,Kanyon,0
1077,I220429,C185504,Male,37,Food & Beverage,1,5.23,Credit Card,1/7/2022,Kanyon,1
1078,I435103,C227932,Female,39,Clothing,4,1200.32,Credit Card,4/1/2023,Metrocity,0
1079,I434467,C731674,Female,50,Cosmetics,3,121.98,Cash,13/06/2022,Mall of Istanbul,1
1080,I314316,C151353,Female,36,Cosmetics,3,121.98,Cash,29/01/2022,Kanyon,1
1081,I302532,C136166,Male,44,Clothing,5,1500.4,Cash,24/08/2022,Mall of Istanbul,2
1082,I265646,C212310,Female,55,Shoes,3,1800.51,Cash,3/5/2021,Mall of Istanbul,2
1083,I567906,C570112,Female,66,Clothing,4,1200.32,Debit Card,6/5/2022,Kanyon,0
1084,I228136,C258356,Female,43,Food & Beverage,2,10.46,Credit Card,26/02/2021,Kanyon,1
1085,I120264,C224641,Female,53,Clothing,1,300.08,Credit Card,11/11/2022,Istinye Park,1
1086,I591543,C283521,Male,28,Toys,4,143.36,Credit Card,25/07/2021,Metropol AVM,0
1087,I184317,C448425,Male,53,Toys,5,179.2,Cash,4/3/2022,Mall of Istanbul,0
1088,I133776,C178631,Male,42,Clothing,3,900.24,Credit Card,11/7/2021,Mall of Istanbul,0
1089,I819565,C939386,Female,41,Technology,3,2932.625,Credit Card,18/09/2021,Metropol AVM,2
1090,I421560,C820106,Male,49,Food & Beverage,5,26.15,Credit Card,6/10/2022,Metrocity,0
1091,I161427,C339653,Female,37,Toys,2,71.68,Debit Card,6/9/2022,Metropol AVM,1
1092,I186639,C265764,Male,45,Cosmetics,2,81.32,Cash,3/1/2022,Cevahir AVM,1
1093,I193463,C186870,Female,25,Technology,4,2932.625,Debit Card,14/11/2022,Metropol AVM,2
1094,I313241,C451828,Female,48,Souvenir,2,23.46,Credit Card,21/05/2021,Metropol AVM,1
1095,I209979,C263300,Male,19,Souvenir,1,11.73,Debit Card,17/12/2021,Kanyon,1
1096,I172639,C772334,Female,49,Books,1,15.15,Credit Card,24/02/2021,Mall of Istanbul,1
1097,I229212,C191514,Female,67,Food & Beverage,5,26.15,Cash,22/10/2022,Kanyon,0
1098,I101921,C243839,Female,39,Books,3,45.45,Credit Card,16/02/2023,Emaar Square Mall,0
1099,I292820,C134902,Male,52,Toys,4,143.36,Cash,12/4/2022,Emaar Square Mall,0
1100,I160172,C113167,Male,38,Souvenir,4,46.92,Credit Card,29/09/2021,Istinye Park,0
1101,I297444,C677395,Female,60,Souvenir,2,23.46,Cash,20/09/2021,Istinye Park,1
1102,I323439,C247344,Male,25,Cosmetics,2,81.32,Debit Card,10/2/2021,Forum Istanbul,1
1103,I542955,C287302,Female,55,Technology,5,2932.625,Debit Card,10/8/2022,Kanyon,2
1104,I313088,C504334,Female,65,Clothing,2,600.16,Cash,9/9/2022,Forum Istanbul,1
1105,I144000,C884498,Male,68,Food & Beverage,5,26.15,Cash,21/10/2021,Kanyon,0
1106,I200637,C225102,Male,47,Toys,5,179.2,Cash,17/10/2022,Kanyon,0
1107,I319108,C191941,Male,61,Clothing,4,1200.32,Cash,13/03/2022,Zorlu Center,0
1108,I305261,C274478,Female,39,Cosmetics,3,121.98,Cash,17/01/2021,Metrocity,1
1109,I284530,C432500,Male,20,Cosmetics,1,40.66,Cash,9/6/2022,Kanyon,1
1110,I204487,C263451,Male,23,Toys,5,179.2,Credit Card,16/05/2022,Mall of Istanbul,0
1111,I242058,C161157,Female,42,Souvenir,1,11.73,Credit Card,23/07/2022,Mall of Istanbul,1
1112,I221797,C272779,Female,49,Food & Beverage,3,15.69,Cash,24/08/2021,Metrocity,1
1113,I267413,C146774,Female,68,Souvenir,3,35.19,Debit Card,22/02/2023,Metrocity,1
1114,I165931,C248472,Male,21,Food & Beverage,2,10.46,Debit Card,7/5/2022,Istinye Park,1
1115,I855918,C729529,Female,52,Technology,3,2932.625,Cash,2/2/2022,Emaar Square Mall,2
1116,I118995,C182706,Female,20,Food & Beverage,5,26.15,Debit Card,20/03/2022,Istinye Park,0
1117,I193071,C181825,Male,50,Clothing,4,1200.32,Cash,10/9/2021,Mall of Istanbul,0
1118,I222344,C293213,Male,31,Clothing,2,600.16,Credit Card,13/02/2022,Metrocity,1
1119,I787748,C280015,Female,31,Shoes,4,2400.68,Credit Card,11/1/2021,Istinye Park,2
1120,I232314,C243592,Female,37,Clothing,3,900.24,Debit Card,26/07/2022,Mall of Istanbul,0
1121,I280285,C334283,Female,61,Clothing,5,1500.4,Debit Card,24/04/2022,Kanyon,2
1122,I196609,C175426,Male,48,Food & Beverage,2,10.46,Credit Card,31/10/2021,Istinye Park,1
1123,I268995,C255970,Male,60,Books,2,30.3,Cash,23/08/2021,Istinye Park,1
1124,I195173,C141524,Male,40,Cosmetics,2,81.32,Debit Card,31/03/2022,Kanyon,1
1125,I589493,C114544,Male,42,Clothing,5,1500.4,Credit Card,15/09/2022,Zorlu Center,2
1126,I136744,C112124,Male,62,Clothing,5,1500.4,Credit Card,25/09/2021,Cevahir AVM,2
1127,I507491,C218800,Female,49,Technology,3,2932.625,Cash,27/09/2021,Kanyon,2
1128,I667931,C137284,Female,57,Clothing,4,1200.32,Cash,19/02/2021,Mall of Istanbul,0
1129,I100225,C128382,Male,44,Cosmetics,3,121.98,Credit Card,12/10/2022,Istinye Park,1
1130,I121561,C134738,Female,57,Clothing,3,900.24,Credit Card,4/8/2021,Emaar Square Mall,0
1131,I770321,C530698,Female,36,Clothing,5,1500.4,Cash,27/12/2022,Metropol AVM,2
1132,I969437,C828785,Male,23,Clothing,2,600.16,Cash,14/07/2021,Metropol AVM,1
1133,I168784,C138531,Male,36,Technology,3,2932.625,Cash,20/10/2021,Metrocity,2
1134,I134702,C953292,Female,57,Toys,3,107.52,Cash,31/01/2023,Mall of Istanbul,1
1135,I118776,C332865,Male,62,Clothing,4,1200.32,Credit Card,22/04/2022,Metrocity,0
1136,I340102,C305799,Male,63,Clothing,5,1500.4,Cash,31/10/2021,Mall of Istanbul,2
1137,I191571,C184583,Male,65,Technology,1,1050.0,Debit Card,5/8/2021,Mall of Istanbul,1
1138,I215194,C141027,Female,21,Toys,2,71.68,Cash,7/3/2022,Mall of Istanbul,1
1139,I205070,C545889,Male,44,Cosmetics,5,203.3,Cash,15/12/2021,Metropol AVM,0
1140,I195693,C270760,Male,26,Food & Beverage,3,15.69,Cash,22/05/2021,Kanyon,1
1141,I200841,C233821,Male,31,Cosmetics,4,162.64,Debit Card,31/08/2021,Mall of Istanbul,0
1142,I102261,C817162,Female,23,Cosmetics,4,162.64,Cash,18/06/2022,Istinye Park,0
1143,I204539,C158822,Male,20,Clothing,5,1500.4,Debit Card,19/05/2022,Metrocity,2
1144,I714613,C977343,Male,40,Technology,5,2932.625,Cash,22/03/2021,Emaar Square Mall,2
1145,I145882,C305889,Female,47,Cosmetics,3,121.98,Cash,26/04/2022,Kanyon,1
1146,I270714,C530876,Male,23,Shoes,4,2400.68,Cash,30/10/2021,Mall of Istanbul,2
1147,I271822,C113708,Female,28,Toys,5,179.2,Credit Card,17/02/2021,Metropol AVM,0
1148,I311858,C770807,Male,30,Cosmetics,3,121.98,Debit Card,30/05/2022,Metropol AVM,0
1149,I451701,C297896,Female,48,Clothing,5,1500.4,Debit Card,24/02/2022,Istinye Park,2
1150,I129253,C229230,Female,53,Shoes,5,2932.625,Credit Card,12/4/2022,Istinye Park,2
1151,I286105,C312945,Female,47,Clothing,4,1200.32,Credit Card,7/11/2022,Metrocity,0
1152,I161804,C258540,Female,22,Toys,4,143.36,Credit Card,12/8/2021,Mall of Istanbul,0
1153,I296170,C132029,Female,22,Food & Beverage,2,10.46,Cash,28/02/2023,Cevahir AVM,1
1154,I196011,C236167,Male,56,Clothing,3,900.24,Cash,3/2/2023,Metrocity,0
1155,I853808,C330338,Male,62,Shoes,2,1200.34,Cash,5/6/2022,Metropol AVM,0
1156,I291288,C219362,Female,50,Clothing,2,600.16,Cash,3/3/2021,Metrocity,1
1157,I271125,C197927,Male,37,Shoes,3,1800.51,Credit Card,15/07/2022,Metropol AVM,2
1158,I670745,C255508,Female,33,Books,3,45.45,Cash,4/3/2022,Mall of Istanbul,1
1159,I340678,C229995,Female,61,Cosmetics,3,121.98,Debit Card,16/03/2022,Mall of Istanbul,1
1160,I959479,C258369,Female,52,Clothing,5,1500.4,Debit Card,19/06/2022,Kanyon,2
1161,I696954,C207482,Male,39,Cosmetics,5,203.3,Credit Card,3/7/2022,Metropol AVM,0
1162,I595141,C268608,Female,24,Clothing,2,600.16,Cash,23/04/2022,Mall of Istanbul,1
1163,I184063,C126255,Female,37,Food & Beverage,5,26.15,Cash,7/6/2021,Istinye Park,0
1164,I275797,C288568,Female,28,Cosmetics,2,81.32,Cash,22/08/2021,Metrocity,1
1165,I196322,C229992,Female,67,Shoes,5,2932.625,Credit Card,26/06/2021,Zorlu Center,2
1166,I254020,C162061,Female,47,Shoes,2,1200.34,Cash,1/5/2021,Kanyon,0
1167,I339892,C300429,Female,62,Clothing,5,1500.4,Debit Card,22/01/2022,Istinye Park,2
1168,I175055,C215558,Female,44,Cosmetics,5,203.3,Credit Card,31/07/2021,Metropol AVM,0
1169,I740038,C213718,Male,34,Clothing,1,300.08,Debit Card,14/12/2022,Metropol AVM,1
1170,I102776,C214209,Female,22,Clothing,4,1200.32,Cash,6/11/2021,Metrocity,0
1171,I953388,C122533,Female,60,Clothing,3,900.24,Debit Card,15/01/2023,Mall of Istanbul,0
1172,I152668,C185981,Female,67,Souvenir,3,35.19,Credit Card,7/6/2021,Mall of Istanbul,1
1173,I111228,C313586,Female,43,Clothing,1,300.08,Credit Card,9/4/2021,Kanyon,1
1174,I275866,C113957,Male,48,Souvenir,3,35.19,Debit Card,28/12/2021,Metrocity,1
1175,I116329,C322557,Female,43,Food & Beverage,1,5.23,Debit Card,19/03/2021,Metrocity,1
1176,I561440,C324044,Male,22,Cosmetics,3,121.98,Cash,5/12/2021,Kanyon,1
1177,I336892,C328748,Female,32,Clothing,2,600.16,Debit Card,21/01/2021,Metrocity,1
1178,I887137,C170777,Female,18,Shoes,3,1800.51,Credit Card,31/12/2021,Mall of Istanbul,2
1179,I300705,C218580,Male,55,Technology,3,2932.625,Cash,27/04/2021,Metrocity,2
1180,I323790,C212937,Female,58,Shoes,5,2932.625,Credit Card,16/10/2021,Zorlu Center,2
1181,I289326,C294774,Male,59,Clothing,4,1200.32,Credit Card,27/04/2021,Metrocity,0
1182,I264063,C326330,Female,21,Technology,1,1050.0,Credit Card,2/8/2021,Mall of Istanbul,1
1183,I188572,C249526,Female,46,Shoes,5,2932.625,Credit Card,20/10/2021,Viaport Outlet,2
1184,I970055,C306283,Female,44,Clothing,1,300.08,Cash,14/11/2022,Kanyon,1
1185,I735309,C638580,Female,37,Clothing,1,300.08,Cash,18/12/2021,Mall of Istanbul,1
1186,I221699,C788087,Female,59,Clothing,3,900.24,Debit Card,15/04/2021,Mall of Istanbul,0
1187,I216225,C330144,Male,49,Toys,4,143.36,Debit Card,23/06/2021,Mall of Istanbul,0
1188,I313067,C615798,Female,54,Books,5,75.75,Credit Card,4/10/2021,Emaar Square Mall,0
1189,I197139,C290859,Male,42,Cosmetics,4,162.64,Cash,9/7/2021,Emaar Square Mall,0
1190,I141000,C705168,Female,51,Cosmetics,1,40.66,Credit Card,1/12/2021,Metrocity,1
1191,I308400,C323957,Male,65,Shoes,1,600.17,Cash,30/05/2022,Kanyon,1
1192,I332556,C962889,Female,42,Toys,3,107.52,Debit Card,10/8/2021,Istinye Park,1
1193,I307187,C150408,Female,55,Food & Beverage,4,20.92,Cash,18/09/2022,Mall of Istanbul,0
1194,I153481,C328252,Male,32,Cosmetics,5,203.3,Cash,11/6/2021,Kanyon,0
1195,I102533,C363843,Female,25,Clothing,3,900.24,Cash,4/4/2021,Emaar Square Mall,0
1196,I261132,C243438,Female,51,Clothing,4,1200.32,Credit Card,30/05/2022,Mall of Istanbul,0
1197,I202306,C166014,Male,22,Toys,1,35.84,Credit Card,12/2/2023,Metrocity,1
1198,I237588,C232895,Male,41,Souvenir,2,23.46,Debit Card,9/1/2023,Mall of Istanbul,1
1199,I233976,C148567,Male,44,Clothing,4,1200.32,Credit Card,12/2/2021,Istinye Park,0
1200,I521482,C211623,Male,43,Clothing,5,1500.4,Credit Card,23/02/2023,Mall of Istanbul,2
1201,I490677,C362334,Male,44,Food & Beverage,5,26.15,Debit Card,3/5/2021,Mall of Istanbul,0
1202,I219506,C305888,Male,41,Shoes,5,2932.625,Debit Card,19/10/2021,Mall of Istanbul,2
1203,I444459,C211588,Female,56,Clothing,3,900.24,Debit Card,5/4/2021,Mall of Istanbul,0
1204,I184468,C167780,Male,64,Clothing,3,900.24,Cash,7/8/2021,Kanyon,0
1205,I112526,C762234,Female,33,Clothing,1,300.08,Cash,27/01/2021,Metrocity,1
1206,I302123,C172146,Female,32,Clothing,5,1500.4,Cash,4/1/2021,Cevahir AVM,2
1207,I176010,C213694,Male,46,Clothing,5,1500.4,Debit Card,24/11/2021,Metropol AVM,2
1208,I320854,C154407,Female,27,Food & Beverage,1,5.23,Cash,18/01/2023,Kanyon,1
1209,I117385,C686727,Male,60,Clothing,2,600.16,Credit Card,11/2/2023,Emaar Square Mall,1
1210,I255932,C598666,Female,51,Clothing,3,900.24,Cash,24/10/2022,Mall of Istanbul,0
1211,I307894,C489248,Female,68,Clothing,2,600.16,Credit Card,18/09/2022,Istinye Park,1
1212,I232547,C263847,Female,51,Food & Beverage,1,5.23,Credit Card,23/07/2022,Metrocity,1
1213,I175770,C896554,Male,63,Clothing,3,900.24,Cash,16/01/2023,Metrocity,0
1214,I249233,C885306,Female,38,Clothing,1,300.08,Cash,10/12/2022,Mall of Istanbul,1
1215,I129423,C185847,Male,66,Shoes,2,1200.34,Credit Card,12/8/2021,Metrocity,0
1216,I182212,C783574,Male,53,Books,2,30.3,Debit Card,20/11/2021,Mall of Istanbul,1
1217,I101555,C758873,Female,25,Cosmetics,5,203.3,Debit Card,5/6/2022,Kanyon,0
1218,I278613,C135379,Female,46,Souvenir,1,11.73,Credit Card,12/9/2021,Zorlu Center,1
1219,I176003,C233654,Male,28,Cosmetics,2,81.32,Debit Card,1/3/2023,Mall of Istanbul,1
1220,I339854,C243211,Male,26,Technology,3,2932.625,Cash,28/06/2021,Zorlu Center,2
1221,I202198,C136362,Female,28,Clothing,3,900.24,Cash,9/2/2021,Mall of Istanbul,0
1222,I159165,C182131,Female,36,Food & Beverage,1,5.23,Debit Card,26/10/2021,Mall of Istanbul,1
1223,I111711,C248371,Female,58,Cosmetics,4,162.64,Cash,5/9/2021,Mall of Istanbul,0
1224,I231451,C229506,Male,41,Cosmetics,5,203.3,Cash,7/8/2022,Istinye Park,0
1225,I236841,C763003,Male,66,Food & Beverage,5,26.15,Credit Card,14/12/2021,Metrocity,0
1226,I244432,C939051,Female,43,Cosmetics,4,162.64,Credit Card,10/7/2021,Kanyon,0
1227,I971151,C327316,Female,18,Clothing,3,900.24,Debit Card,23/01/2021,Emaar Square Mall,0
